659.26,190
0.00, 10
659.26,190
0.00, 10
739.99,390
0.00, 10
659.26,390
0.00, 10
880.00,390
0.00, 10
830.61,790
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
739.99,390
0.00, 10
659.26,390
0.00, 10
987.77,390
0.00, 10
880.00,790
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
1318.51,390
0.00, 10
1108.73,390
0.00, 10
880.00,390
0.00, 10
830.61,390
0.00, 10
739.99,390
0.00, 10
1174.66,190
0.00, 10
1174.66,190
0.00, 10
1108.73,390
0.00, 10
880.00,390
0.00, 10
987.77,390
0.00, 10
880.00,790
0.00, 10
