440.00,190
0.00, 10
440.00,190
0.00, 10
493.88,190
0.00, 10
554.37,390
0.00, 10
554.37,190
0.00, 10
554.37,190
0.00, 10
554.37,190
0.00, 10
440.00,190
0.00, 10
493.88,190
0.00, 10
554.37,190
0.00, 10
587.33,590
0.00, 10
587.33,190
0.00, 10
587.33,190
0.00, 10
493.88,190
0.00, 10
554.37,190
0.00, 10
587.33,190
0.00, 10
659.26,390
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
659.26,190
0.00, 10
739.99,190
0.00, 10
587.33,390
0.00, 10
587.33,190
0.00, 10
587.33,190
0.00, 10
587.33,190
0.00, 10
554.37,190
0.00, 10
493.88,190
0.00, 10
440.00,190
0.00, 10
554.37,390
0.00, 10
554.37,190
0.00, 10
554.37,190
0.00, 10
587.33,190
0.00, 10
554.37,190
0.00, 10
493.88,190
0.00, 10
440.00,190
0.00, 10
493.88,390
0.00, 10
493.88,190
0.00, 10
493.88,190
0.00, 10
493.88,190
0.00, 10
493.88,190
0.00, 10
493.88,190
0.00, 10
554.37,190
0.00, 10
493.88,390
0.00, 10
440.00,1190
0.00, 10
